Ulasan,Label
balanced enemy please don't be unbalanced,Negatif
game cacat anj g jelas,Negatif
"Lawan nya pada gak seimbang terus tambah musuhnya baru narok kartu udah tu narok kartu lagi truss trofinya ngak seimbang pas menang dikasi cuman 30 atau 29 pas kalah dikurangin 31 atau 32.tolong lawan yang dikasih itu yang seimbang,cuma dari game play dan tampilan nya udah bagus kok. tolong lawan yang diberikan yg seimbang ya min🙏🏻🙏🏻",Negatif
game pay to win,Negatif
Favorite Game,Positif
"ini bukan game strategi, yg miskin kalah sama yang kaya",Negatif
pay to win bgt game nya kikir,Negatif
permainan yang sangat menyenangkan. mengatur strategi dengan baik. hingga mendapatkan kemenangan,Negatif
kalau aku udah keluar tuh akunya jangan diilangin apa susah bikin akun baru tuh kalau download lagi hilang akunnya tolong dibenerin dong kayak jangan kaya itulah,Negatif
pay to win not recommended,Negatif
"permasalahan jaringan masih belum di benerin selalu stuck di loading screen, sedangkan login coc lancar jaringan nya",Negatif
like to freeze for no reason i have a good amount ram and memory and it still force close you know i had this problem since i was 10 years old when i came back to play now it still had the same problem.what are you guys doing over 9 year wth,Negatif
sangat seru!!,Positif
akun saya hilang karna hanya terpaut dengan google play..,Negatif
Najis ga imbang lawannya kartu gua beda jauh,Negatif
Game aneh,Negatif
kenapa ini ga bisa masuk stuck di loading?,Negatif
kalo musuh nya pake evo kasi lawan yg pake evo jugala,Negatif
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,Others
di saya ngestuck di memperbarui teruss tiba tiba disuruh relog,Negatif
"I have 5G WiFi, but the loading screen take so long, and sometimes I lose because of this. I try YouTube and etc it's ok, but when open cr it's so lag",Negatif
Gak bikin bosen. kerennnnn,Positif
gacor kang,Positif
ini kok setiap 60 detik akhir kenapa musuh tuh eleksir nya jauh lebih cepat daripada punyaku. ?,Negatif
keren bangetttt,Positif
mohon tolong mb nya di kecilin lagi ya jadi 300mb aja soalnya terlalu berat,Negatif
kasih lawan yang setara lah anjng susah dek masih rendah juga,Negatif
kawan saya main ndak betul,Others
ga bisa masuk game nya loading nya mentok di 75%...... tolong di perbaiki,Negatif
"apalah coba in main lagi setelah sekian lama, sering stuk 75 sama 96 persen di. loading",Negatif
connection bad,Negatif
game yg sangat bagus disaat lagi boring,Negatif
Game aneh stuck loading mulu,Negatif
"login stuck 75, lag in game (game lain ml pubg dll aman), selesai game stuck 96😌",Negatif
setelah update tidak bs kebuka di hp redmi 12 note ... knp??,Negatif
nggak bisa login,Negatif
game ini bikin aku stresss banget,Negatif
"kurang puas sebab setiap dalam pertempuran selalu ada notif ""Terputus"" itu sangat menggangu keseimbangan game dan merugikan pihak yang lag tanpa masalah yang jelas. apakah server Asia tidak di perbaiki lagi ?. mohon di perhatikan server Asia dan perbaiki. tidak hanya di Class Royale, di Class Of Clans juga sama mohon di perbaiki. Terima kasih",Negatif
"hapus level kartu pada taktik merge,karena saya merasa tidak adil ketika level kartu saya rendah di saat kondisi bintang yang sama dengan lawan",Negatif
"Game play to win,terkadang musuh itu dikasi gak adil,LU KALO MAU MAIN GAME INI PERLU UANG KALO MAU MENANG!!",Negatif
Please Tambahkan Barbarian King,Others
"Apalah udah mau menang malah disengajain kalah sama (supercell) dengan memberikan alasan sinyal buruk , jaringan gw aja 5G malah di kasih logo WiFi coret😹",Negatif
tidak ramah untuk yang baru mulai dan p2w banget,Negatif
nice,Positif
keren,Positif
"bug sinyal sangat mengganggu, stuck loading juga.. tolong benerin sangat menyusahkan",Negatif
sambungan terputus trs,Negatif
penyakit game ini. jaringan bagus tapi sering keluar dari pertandingan. perbaiki bug ini!!!!,Negatif
diawal harus loading lama tapi alhasil bisa lancar walaupun sulit dikit:),Negatif
love 5 star,Positif
stak di awal ni game rusak memperbarui cokkkkkkk,Negatif
"Akun gw GK bisa di buka lewat FB sekarang Angus udah gede akun nya, balikin lagi kata dulu",Negatif
"game GK jls makin lama lawannya GK sesuai, makin GK masuk akal ni game masak musuh nya level nya beda jauh banget, kartu kita level 10 musuh level 15 ,14,13,12 jls kalah kao gitu trus",Negatif
pay to win,Negatif
seru,Positif
matchmaking nya kurang imbang,Negatif
"GAME GJ, KEREN GAMEPLAYNYA TAPI DI GW LAMA BNGT CK CUMAN BUAT COOLDOWN, LAWAN GW PADA CEPET² BNGT BISA NGESPAM MALAHAN, LAH DI GW PADAHAL UDH PAKE KARTU YNG CUMAN PERLU 1🔥 TETEP LAMA BNGT NJIR, GOBLIN KECIL AJA PERLU LAMA BNGT COK BUAT NUNGGU SPAWNNYA, GIMANA SIH NI GAME. GW TRUS TERUSAN LOSESTREAK GRA² SCRIPT DEV KYK GITU. UDH GITU MATCHMAKINGNYA GK SEPADAN CK, LAGI² DIKASIH LWAN YNG MAHKOTA NYA BEDA JAUH BNGT DARI GW KYK BEDA 50-100AN, GIMANA MAU MENANG TRUS ANJAYY, AGH TAULAHhhhhhhhhhhhhhhh",Negatif
очень приятно,Others
"kayak game judol Menang kalah menang kalah, lama banget lagi eleksirnya,, kompetitif dong jadi game, pengen lama doang mainnya",Negatif
pay to win,Negatif
sang at bagus dan menarik,Positif
bug loading,Negatif
there is never a single fair matchup,Negatif
selalu di berikan lawan yang tidak sepadan. sangat merepotkan,Negatif
cobak level di Setarakan dan jangan pay to win,Negatif
kenapa selalu tidak adil saat menghadapi lawan dengan berbeda level pay to win nya kerasa banget,Negatif
Dah lama g maen ini game skrg modenya tambah bny. aplgi decknya mudah d dapat. g kaya dulu. keren,Negatif
bagus!,Positif
game buatan SUPERCELL paling p2w nya paling kerasa,Negatif
salamun'alaikum bimashobartum dari sisi Allah SWT,Others
ini gimana ceritanya gue mau main lagi tiba-tiba akunnya ilang semua?,Negatif
"saya baru saja download clash royal, tapi tidak bisa masuk, pas ada kata memperbarui, Tiba-tiba koneksi terputus katanya, padahal kalo main game lain baik-baik saja.",Negatif
gak bisa login udah 75% terus memperbarui lalu ada sambungan terputus coba login lagi terus ngulang,Negatif
"pake wifi atau data sama aja loading berhenti di 75%, sama taktik fusi nyawa kurang banyak, lawan kurang banyak",Negatif
tidak ada habisnya,Others
nerf Mega knight pls,Others
"kenapa selalu muncul tanda wifi dan lag saat menggunakan wifi, padahal sinyal wifi lancar",Negatif
Walaupun pas main kalo menang dapet dikit tapi kalah rugi banyak tapi itu sih yg bikin asik soalnya ini game menantang kata gw🗿,Positif
ngasih musuh gapernah setara anj,Negatif
"Sinyal ilang mulu, 1 game bisa kali relog 3x buat lanjutin",Negatif
jelek,Negatif
"bagus sih bagus, tapi pas level 12 ketemu level 13 pas level 13 ketemu level 14 apa coba, gk adil kocak",Negatif
keren,Positif
I always meet Overleved player at the point I fed up by this game p2w,Negatif
game p2w,Negatif
"Perang Klan tidak kompetitif, saat matchmaking selalu bertemu musuh dengan rata-rata pasukan berlevel 11 sedangkan saya level 9 jangan hanya berfokus ke player P2W saja dan juga untuk mendapatkan keping Evo itu juga hanya di untungkan dengan player P2W hanya dengan membayar $6.01 ini hanya menguntungkan bagi player P2W,sangat tidak kompetitif.",Negatif
very boring if they meet opponents elixir a little and wonder more players who use strategies like this. HoamZzzzz.....,Negatif
this fame so grrat,Others
"gw udah bayar 50 gems buat tantangan draft tp tulisannya ""pencarian lawan gagal"". tolonglah buat dibenerin masa udah bayar gabisa dimainin.",Negatif
gg bgt anjayyy,Positif
mantap,Positif
mantap,Positif
"GAME GK SEIMBANG MENANG DIKIT LANGSUNG DIKASIH PLAYER P2W, GMN COBA MAU MENANG GAME KIKIR",Negatif
i love clash royale,Positif
"game pay to win parah, kliatan ftp pasti kalah lawan yg bayar",Negatif
game pay to win gini hedeh,Negatif
good,Positif
p2w game,Negatif
Makin busuk,Negatif
"i used to love this game in the past and dreaming all my card is on level max. but once they add level 14,15,16 card and evolution, make me feel so faaaarrr away to reach all my cards to max level. hope they revert all and make level 13 is the maximum level.",Negatif
"nerf Mega knight please, hes to op in a battle, or i delete this fckng game",Negatif
"ni game sebenernya seru, cuman musuhnya ga ngotak anjg, ga adil banget bngke",Negatif
"GAME BODOH, SAYA TIDAK SUKA MEMAINKAN GAME INI",Negatif
"game tolol, jaringan bagus tapi refres pass lagi war , game gajelas game tololll",Negatif
"ADAIN DAN BUAT FITUR REMATCH DEVELOPER, EMOSI GW KALO PAS LAGI KALAH GABISA REMATCH",Negatif
so good in the game strategy,Positif
very unbalanced cards,Negatif
oohhh guardiannnnn,Others
"Setelah saya bermain lagi saya sangat kaget dengan battle reward yang baru, tolong ubah lagi ke model lama.",Others
Game bayak bug,Negatif
baguss,Negatif
asik ingat neil ada lomba yang harus jadi juara,Positif
good,Positif
"stupid game, p2w",Negatif
"kasih bintang 1 dlu, sudah 2 hari tidak bisa log in tolong segera di perbaiki. Masa jaringan bagus tetap tidak bisa log in.",Negatif
stupid matchmaking,Negatif
game p2w matcing gak sesuai game yahudi udah mah sekali ngelag tower langsung ilangg semua game Dajjal supercell penganut agama jewish keturunan dajjal,Negatif
lg new,Others
nggak bisa dibuka game nya,Negatif
"Saat dipakai untuk bertanding, sinyal internet tiba2 selalu jelek. padahal untuk buka apk lain normal2 saja. mohon diperbaiki",Negatif
sungguh lucu pas lagi main mlh jaringannya hilang hhh tolong diperbaiki kendala jaringan,Negatif
bagus gameplay nya tapi terlalu pay to win,Positif
apalah udh minta kode verifikasi tapi ga muncul muncul di emal,Negatif
Pengen main aja jaringan gangguan mulu,Negatif
"sumpah ini loading nya lama bgt, padahal main game berat lain loading ga nyampe 1 menit, lah ini bisa 5 menit lebih",Negatif
stak di memperbarui,Negatif
best game ever,Positif
Mantap dam menyenangkan,Positif
akun saya sudah level 15 . lama tidak login kok malah ulangi dr level 1???,Negatif
kys clash royale,Positif
game yang bagus dan saya belajar tentang strategi di game ini jadi saya mulai melatih skill saya dalam bermain game yang terbaik bagi saya,Negatif
👍🎮👍🎮👍🎮,Others
mantapn,Positif
"game ini dukung zionis,gk layak main",Negatif
bagus,Positif
game ga jelas ga pantes di mainin b1 udah paling cocok cuma bisa bikin emosi aja ni game,Negatif
kasih musuh yang sepadan lah kalo gk nerf mega knight,Negatif
"padahal lancar buka² apk lain kek tiktok ama yg lain tapi kenapa jaringan putus mulu? masa dikit² mo keluar, disuruh masuk lagi, ngeleg kgk, kouta banyak, tolonglah cari cara kek, udah main eh tau² ada notip jaringan terputus, ya mau gk mau harus muat ulang, sumpah risih kek gitu, hapus aja notif-nya atau tautin di pengaturan soal gituan setuju/kgk diaktif'in, klo lag ya lag aja gausah maksa keluar apk",Negatif
"game gak jelas,sudah cape cape main lama dan sudah di kaitkan tapi akunnya malah di hapus sama developer nya.kacau kacau",Negatif
gamenya seri sudah main lebih dari 10 tahun.,Negatif
seru game nya,Positif
"game kont* lawannya sangat"" tidak seimbang, gak kalah sma game"" lain bikin emosi as*",Negatif
bagus,Positif
faking p2w,Negatif
Jaringan in game sering error... Tolong dibenahi lagi,Negatif
"gamenya seru aku nikmatin banget main nya, nyari deck bagus, combo, evo yang bagus pokoknya udah bagus... TAPI WIFI FULL TANPA GANGGUAN NGELAG SENDIRI AKHIRNYA KALAH TERUS CUMAN GARA GARA NGELAG PADAHAL GAK NGELAG SAMA SEKALI AKU KESINI CUMAN GARA GARA KESEL MASALAH INI DOAANGGG!!! jadi tolong kalau bisa segera diperbaiki mengenai masalah jaringannya.",Others
aku tidak bisa masuk kedalam game dan selalu stuck di bagian updating. aku telah melakukan berbagai cara namun tidak berhasil. mohon segera perbaiki!!,Negatif
tidak dimainkan stuck loading sudah berbulan bulan,Negatif
"aneh sekarang gabisa login ke akun yg lama , hilang sudah akun ga ada pilihan login akun ... ngulqng lagi dari awal",Negatif
nice gamee,Positif
game puki,Negatif
ok good,Positif
game P2W parah,Negatif
mantap sekali,Positif
DARK SISTEM GA ILANG ILANG!,Negatif
"tolong pihak developer game nya akhir"" ini susah untuk masuk dan sering sambungan terputus pengalaman bermain jadi sangat terganggu semoga bisa diperbaiki kedepan nya",Others
menyenankang,Positif
mantap,Positif
"a lot of pay to win Gooner i fought, and the free reward are very few, please supercell support us who played this game free to play give us more free reward.",Negatif
gane gajelas ngentoy padahal mau menang jing malah ngelag kontoy,Negatif
permainan. bagus saya kasih bintang 🌟🌟🌟🌟🌟,Positif
mega knight,Others
bagus,Positif
"musuh terlalu mudah,tidak menantang",Others
nice 👍,Positif
PAY2WIN GAMES,Negatif
"dari sekian banyak kartu Legendary, kenapa aku dapat miner. aku masih arena 11, terus setelah aku dapat miner langsung di kasih lawan P2W. kartu lawan P2W itu ada yang level 14, bayangin pemain f2p kayak aku di suruh lawan kartu level 14 + dapat kartu miner yang kurang berguna menurut ku. emang di kira aku pemain turnamen di kasih miner segala. tolong di perbaiki untuk lawannya 😒!",Others
"tolong server dikondisikan masa internet bagus kok ""internet anda terputus"" udah 10 kali anjnk. cape nungguin, event Mulu dipikirin sedangkan performa internet aja dari dulu ngga dibenerin entah coc, bombeach, atau hayday semuanya masalahnya sama ""internet anda buruk"" matiin aja gamenya juga pay to win pula maksa player buat top up. lihat komentar ini developer dan balas jangan diam aja kaya pejab...t korup aja lu!",Others
"game a s w, lawan veteran malah ketemu di awal k n t l",Negatif
sering terjadi lag,Negatif
"tambahkan fitur report pemain di 2vs2 ,yang afk dan meninggalkan pertandingan biar kapok",Negatif
"mohon kpd Supercell untuk menambah 1 aja lagi slot evolusi sehingga stiap deck bisa pake 3 kartu evolusi krna kartu evolusi sy dah mulai bnyk, bingung mo milih yg mana untuk deck, tambah 1 aja lagi slot evolusi nya, mksih",Others
mantap,Positif
"Susah nya dapat kartu legendaris, tapi seringkali dapet lawan yg pakee kartu legendaris, menyebalkan, kagak adil, mau naik tropi ada aja, server busuk, lawan jauh diatas",Negatif
"knp gw ga bisa login? padahal mau nyoba ni game🙂 jaringan gw lancar padahal tapi pasti aja pas mau login ""sambung terputus "" tolong jika ini bug harap di perbaiki",Negatif
"kenapa sering keluar sendiri,pdhal sinyal bagus.?",Negatif
"sering putus² sendiri, padahal jaringan bagus......",Negatif
baik,Positif
tambah lemot,Negatif
ngelek dkit ga ngaruh,Others
IF SUPERCELL HAD LESS P2W J WOULD ACTUALLY ENJOY THE GAME,Negatif
game celeng pay to win asu 🤬🤬🤬,Negatif
"apa coba setiap match pasti deck level lebih tinggi bukan di ubah biar imbang sekarang lebih parah,aneh",Negatif
kok clash royale saya gak bisa kebuka mentok di loading memperbarui terus,Negatif
"game babi, lv musuh ga setara, ga bisa bvt nyenengin org,",Negatif
"kepada developer tercinta, game ini berkembang buruk akhir-akhir ini, terlebih di jaringan, saat permainan dimulai, menit awal lancar, saat mendekati menit terakhir, sinyal buruk sekali, disini saya menggunakan kecepatan wifi maksimal dengan 1mbps, yang jelas memiliki kecepatan rata-rata pada umumnya, tolong untuk diperbaiki lagi.",Others
sangat bagus beda dari yang old,Positif
👍,Positif
sering memperbaiki dan tidak dapat dibuka,Negatif
gak bisa masuk padahal jaringan bagus udah coba pakai wifi juga gak bisa apalah ini geme kemarin bug dari arena 9 ke arena 2 apalah,Negatif
ge yang sangat sangat negatif,Negatif
setelah update susah masuk dalam game,Negatif
asik,Positif
kurang lebihnya masih bagus bagus aja lah ya. Tapi tolonglah kalau habis match/log in pasti kok ngeleg mulu sih? udah mungkin itu saja keluhan saya dan mungkin sebagian orang juga merasakan hal serupa.,Negatif
apa coba dah hapus download 4kali tetep aja gabisa masuk stuck 75% updating ujung-ujungnya kesalahan jaringan padahal lancar banget anj hama,Negatif
keren abeees...😂👍,Positif
lawan gak sepadan,Negatif
asik,Positif
tidak dikirim kode nya jadi gabisa masuk akun yang dulu,Negatif
KERENNN,Positif
mohon untuk memperbaiki server nya karena suka lag terus padahal mah jaringan lancar lancar aja,Others
buruk sekali akun saya dihack tapi tidak bisa mengembalikannya padahal itu email pertama saya,Negatif
enak juga untuk game yg satu ini gue kasi bintang 4 dulu yha,Positif
Clas royale ini saya inggin komplen ini kenapa pas saya sudah download pas masuk loading itu tib tiba ada sambungan terputus pas loading pembaruan nya harus coba lagi terus gimana yah ini,Others
musuh yg adil,Positif
"game ga bs dibuka , mana jaringan suka ngelag ga jelas",Negatif
game ngeselin kenapa sekarang drop card nya jadi lebih delay. lama anj,Negatif
PAY TO WIN,Negatif
"real esport, mantap",Positif
gua kasih bintang 1 aja nggak layak main game Iki apa main cuma kalo terus nggak ada menang nya bikin emosi aja padahal baru arek 16 udah nggak masuk akal musuh nya bikin emosi aja ini game,Negatif
lain kali kasih yg setara lawannya yang level raja sama sama,Negatif
"game busuk, udah p2w dikasih lawan level nya gak seimbang",Negatif
kalo ngasih musuh yg setara blokk,Negatif
yok ayo,Others
kebanyakan masalahnya,Negatif
GAME SAMPAH!!!,Negatif
"Apasi jembut makin sini makin pay to win garamah banget sama f2p jembud, aing mau push trophy evo dimana mana. kikir banget lagi anjeng 200k baru dapet 1evo jembud",Negatif
update please... why always stuck at 75%. sometimes I can play all the whole day,Negatif
Fireball 🔥🔥🔥,Others
mantap,Positif
aku sukaaa,Positif
gamenya terlalu pelit,Negatif
you all dick,Negatif
sangat bagus,Positif
bagus,Positif
hebat👊😡👊,Positif
"Dear CR,stelah d perbahurui kok loginnya susah,pdhl sinyal bagus pakai data/wifi pula.",Negatif
stuck loading screen update,Negatif
game idiot. sistem matchmaking ga adil selalu dapet musuh dengan level benteng diatas level benteng kita. udah gitu ini game walau gratis tapi in game pay to win banget. apalagi semenjak ada card evo. pantes ini game sepi. mending mode ranked disamain aja level card+benteng nya biar adil dan seimbang bukan malah yg mode classic yg dibikin sama level nya. developer tolol mati aja nih game,Negatif
game kon susah bet di arena 6 cokkk,Negatif
hei permainan ini sangat keren,Positif
"optimalisasi lagi,susah masuk gamenya",Negatif
"geam ini sangat amat bagus,tapi di sayangkan ada hal yg gk adil yaitu saat saya main RANK musuh nya level 13 kadang sampe 14,saya aja baru level 12 udah di suruh lawan level 13/14 tolong beri saya musuh yg adil untuk saya lawan seperti level benteng nya 12 sama seperti saya atau level kartu yg sama,sudah itu aja yg saya mau,saya tidak mau turun terus menerus saya hanya ingin menaikan TROFI saya teman teman saya sudah menamatkan geam ini,saya juga ingin seperti mereka jadi tolong ya di adili😓🙏",Positif
game pay to win,Negatif
imagine a player with a card from arena 12 playing in arena 7👀,Negatif
akun ku ilang mulu,Negatif
"Niat ngasih trofi gak sih sampah,ngasih musuh gak seimbang game sampah,Ngasih Gold tuh yg banyak orang yg lvl nya tinggi susah update nya woy game sampah respon dong game ampas, yaelah mentang mentang sukses ulasan gak di baca sampah bet sih belagu,oi sampah gak di baca ni ulasan hadeh game sampah, ga imbang ngasih lawan, pay to win, baca dong ulasan gw",Negatif
GAME KIKIR PAY TO WIN SAMPAH,Negatif
gamenya seru,Positif
"Please find an opponent as fairly as possible. It doesn't make sense that Arena 13 already has a champion, while the champion is only open in above arena 13 and also the levels are not equal. I ask Supercell to rebalance or find an equal and impartial opponent. Thank you.",Negatif
sering terjadi bug pada saat masuk game,Negatif
Pelit resource,Negatif
"keseimbangan jalan trophy sudah bagus, taktik fusi masih perlu banyak peningkatan, kami sebagai player menyambut baik mode baru ini, namun 2vs2 klasik terlalu membosankan, kita butuh 2vs2 2× atau 3× elixir di mode yang tetap",Negatif
chill,Positif
dasar sekarang terus aja kaya gitu saya udah main 10x tapi masih aja kalah lagi terus dasar kalo gitu gak usah bikin mainan dasar,Negatif
knp punya saya bug ya ga bisa masuk,Negatif
"gamenya gak seru lagi, iya awal-awal seru tapi pesti makin lama makin kurang, kayak waktu ngelawan musuh levelnya lebih tinggi jadi tolongggggggggggg banget supercell perbaiki ok",Negatif
"game hama pay to win bgt, mega knight lepel 15 gw baru lepel 11",Negatif
"game sampah, ngasih lawan ga sebanding sama level, gimana mau ngilangin stres yg ada malah tambah stres",Negatif
server id error signal lancar game terasa berat,Negatif
bagus dan sangat seru bagi ku,Positif
Seru cuy,Positif
op,Positif
"gameplay sudah tidak seimbang, banyak kartu yang dasarnya sudah kuat masih di tambahkan evolusi, menghilangkan kompetisi yang seimbang",Negatif
"bagus bet anjay slbew , p info adu Peka mini imut kyutt",Positif
"Game yang sangat menyenangkan, akan tetapi semoga matchmaking bisa dibenarkan lebih adil",Positif
"aplikasi sya sering update, gak bisa login",Negatif
game pay to win,Negatif
"ini kenapa update sistem nya lama banget, udh uninstal sama dowload lagi masi samap, padahal jaringan juga bagus , tolong developer benerin dong",Negatif
sangat menghibur,Positif
kasih lawan yang seimbang,Negatif
kenapa akhir-akhir ini clash royale susah banget masuk nya padahal jaringan bagus loh tolong lah di perbaiki dong susah main ini!!!!,Negatif
"gk bs di mainkan,,,🤦",Negatif
"gw kasih bibtng lima, biar dibaca... perbaiki lahh sinyal tuhh yng dibikin oleh orng yangg ngecheaatt!!",Negatif
tolol anj kartu buat counter nya di Tarok belakang bngst bego lu anj yang betul ajalah tolol udah kadang tiba tiba lag padahal internet bagus bagus bikin kalah aja,Negatif
kok dilay ya ngeluarin pasukan sekarang? ada yang sama??,Negatif
"pas main ngelag terus padahal jaringan bagus, rusak rusak",Negatif
game pay to win levl 13 lawan levl 15 gimana mau menang??? developer duguuu dari dulu gak pernah di perbaiki sistem matching nya game sampah,Negatif
teruntuk supercell tolong lah kasih lawan yang sepadan. setiap matching jarang dikasih lawan yg sepadan. pasti diatas terus level deck nya apa lagi level raja nya. enggak seimbang jatuh nya karna perbedaan level. deck saya dengan level rendah bisa sampai ke arena tinggi yang dimana arena itu mungkin kebanyakan player dengan level deck yg tinggi tapi tolong dong jangan yg tinggi terus. mau gimana menang kalau level deck aja berbeda jauh. yg ada mah kalah terus.,Others
"Pay to win, match making tidak seimbang.",Negatif
"There's a bug preventing me from entering the game; the loading gets stuck at 75%. I've tried exiting and re-entering Clash Royale multiple times, but it's still the same; the loading keeps getting stuck at 75%. So, I was forced to uninstall Clash Royale and then install it again. I urge Supercell to fix this bug immediately because it greatly disrupts my comfort as a player. ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤThank you.",Others
"kok gak bisa masuk ya ? padahal jaringan & sinyal bagus, udah update juga",Negatif
"game bagus, ada dark sistem nya, ada klan toxic nya",Positif
Game kont0l,Negatif
kasih lawan yang setimpal lah tolol,Negatif
Selalu Sambungan terputus saat login,Negatif
"tolong sinyalnya dikondisikan,",Negatif
saya lihat devlop nya ga reaction komen komen kritis dan komen b5 sama saja tidak apresiasi terhadap para player padahal ada banyak saran dari para player,Negatif
saran gua itu barter nya di ganti jadi tak pakai koin barter nya tak susah koin barter nya nak dapat kan atau du permudahkan dapat koain barter,Negatif
game bagus tapi kebanyakan musuh pay 2 win,Negatif
kenapa game ini stuck di 75 trus menerus?,Negatif
"aplikasinya Error Gak Mau Log In, Sudah 3x Re Instal tetap agak Bisa Tolong di Perbaiki saya Sudah Banyak Top Up masa Gak Bisa Log In",Negatif
"gak bisa masuk, koneksi terputus? lah umamuse yang susah aja bisa , njir gw ampe ngecheat unduh game lain biar bisa login kan aneh",Negatif
"game babi, gaadil jadi developer masa level 11 lawan level 10 tidak ada keadilan",Negatif
gajadi udah menang,Others
bug parah mohon di perbaiki,Negatif
bad server,Negatif
"sinyal jelesk skr, main chesnya.",Negatif
gabisa login pdhl baru download pdhl wifi full jaringan bagus apk lain bisa buka,Negatif
"tolong dong untuk internet nya jangan berat2 ,. padahal pake WiFi, internet baru beli 100GB , masa jaringan gak stabil",Negatif
"Sekarang setiap login mentok 75 %, agak lama baru 100 % , parah ni game",Negatif
gak bisa log in kenapa udah ku uninstall aku pasang lagi gak bisa log in kenapa ??,Negatif
game horor login aja kagak bisak kek mana server nya nih tcuih,Negatif
"Kenapa setelah Update, Loading Openingnya sering berhenti pada 75%, ya ?",Negatif
makin sulit masuk di level 11,Negatif
game aneh suka tiba tiba ngelag saat in game,Negatif
"nge bug trs di loading kadang nyakut di memperbarui kadang 75% aneh,diatasi ke udh lama kyk gini",Negatif
Game Pay To Win Yeaaah,Negatif
"lumayan lah geme ya alasan nya mengapa 4 bintang, pas mau cari lawan ketemu nya lamaa banget makanya beri 4 bintang 😅...",Positif
Bintang 1 sampe 2vs2 dikembalikan,Negatif
seru game nya,Positif
saya suka game nya asik dan banyak hero2 yang lucu dengan berbagai karakter nya,Positif
game bangsat,Negatif
"Ranked mode is rotten. While opposing players get elixir very quickly, other players get elixir slowly. And it often happens that when a player is about to move up in rank, there is a bad signal and the connection is lost, then in the next match the player will continue to lose until they reach the lowest point.",Others
lumayan seru,Positif
so lag,Negatif
kiapa Ken nak masuk sinyal la bagus masih dak dapat masuk burik amat Ken da yang buat,Negatif
toxic,Negatif
"game apalah ngasih musuh nya gak adil, masa musuh punya Tesla lvl 14 kartu ku saja ga sampai lvl 10 dia udah 14 ga adil asw",Negatif
Game pay 2 win di arena atas. benerin lah gamenya.,Negatif
bagus keren nostalgia,Positif
update muluuuu dah sekarang,Negatif
baru balik lagi,Others
"very disappointed with this game, why is there always an update almost every day?",Negatif
"gabisa login setelah update, stuck di 75% dan ""memperbaharui...""",Negatif
Next update buat fitur report yang meninggalkan pertandingan 2vs2 yakkk udah itu aja..,Others
"saran dari gw klo yg namanya marge tactic itu ga ush di sangkut pautin sama level , susah jadinya gw uda nyala banyak 3 sinergi kalah sama yg ecek ecek gegara beda level?, taktik nya dmn coba klo ke gitu sama aj spam yg bagus aneh",Others
game peli,Negatif
game tolol asu kalo mau dapet cest mesti ketemu musuh yang susah lah yang level tower nya kalah lah emang game asu,Negatif
stuck loading at 75%,Negatif
kenapa memperbaruinya smpe 3hari ngga bisa bisa masuk? edan cok,Negatif
bagus,Positif
huaa,Others
game bagus,Positif
jynxi membuatku ingin memainkannya lagi,Positif
"8 years playing this, still good",Positif
ngelag,Negatif
bug ngestuck di 75% trus di suruh coba lagi dan ga bisa masuk tolong di perbaiki kah,Negatif
good,Positif
di update malah sinyalnya jadi nggak stabil,Negatif
the network is not smooth,Negatif
Servernya buta jaringan merah terus..... payahhh.....,Negatif
makin lemot gamenya saya turunin bintangnya,Negatif
"baru main di kasih lawan dengan dek hight tier, padahal baru arena 2.",Negatif
"sudah 5kali saya install tetap gak bisa log in, selalu nyangkut di 75% dan memperbarui, tolong di selesaikan ini",Negatif
PEMBARUAN AGUSTUS MEMBARA! • 2v2 KLASIK KINI KEMBALI! • PEROMBAKAN BARU: Tungku! SEKARANG BISA BERJALAN! • Evolusi Tungku: Evolusi Tungku akan mengerahkan Roh Api lebih cepat dan membuat Arena makin panas! • Berbagai perbaikan bug dan peningkatan!,Negatif
"abis update, isp dan provider logo wifi terus pas gameplay",Negatif
👍,Positif
ihiww,Others
kebanyakan pembaruan terus,Negatif
"makin sering perbaruan bukannya makin enak, malah di koniksi jaringannya makin susah,,di game lain aja lancar2 aja kok, malah game ini doang yang koniksinya selalu terputus saat main",Negatif
LAGG SERVER,Negatif
No coment,Others
Bagus dan mudah untuk dimainkan,Positif
setelah update jadi g bisa d buka. stag di 75 persen,Negatif
supercell use scripting. they lagged your game when you have a lot of win streak,Negatif
nice game,Positif
"sinyal di game ini sangat buruk, sangat menggangu saat saya bermain tolong diperbaiki masalah untuk sinyal",Negatif
game tai,Negatif
id!ot match game,Negatif
"cr lagi rusak? kok memperbarui tapi gak selesai""???",Negatif
Game nya bagus tipe game nya kayak game susah tapi nagih.,Positif
game nyaa cukup bagus hanya kurang dii heronya,Positif
game bagus tapi p2w,Positif
Tolong supercell kenapa setelah update evo tungku clash royale ku gak bisa login,Others
tolong saya stuck di loading game,Others
bikin game yang bener tolol,Negatif
